,255-CAL_DAC
Channel,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,0,0,0,0,0,0,15,82,98,100,100,100,100,100,100,100,100,100
1,0,0,0,0,0,0,0,0,5,70,100,100,100,100,100,100,100,100,100,100
2,0,0,0,0,0,0,0,16,84,100,100,100,100,100,100,100,100,100,100,100
3,0,0,0,0,0,0,0,19,87,99,100,100,100,100,100,100,100,100,100,100
4,0,0,0,0,0,0,0,0,0,14,76,100,100,100,100,100,100,100,100,100
5,0,0,0,0,0,0,0,4,54,99,100,100,100,100,100,100,100,100,100,100
6,0,0,0,0,0,0,0,1,32,94,100,100,100,100,100,100,100,100,100,100
7,0,0,0,0,0,0,0,0,0,0,7,70,100,100,100,100,100,100,100,100
8,0,0,0,0,0,0,0,0,4,73,98,100,100,100,100,100,100,100,100,100
9,0,0,0,0,0,0,0,0,0,22,90,100,100,100,100,100,100,100,100,100
10,0,0,0,0,0,0,0,21,91,100,100,100,100,100,100,100,100,100,100,100
11,0,0,0,0,0,0,0,0,4,43,94,100,100,100,100,100,100,100,100,100
12,0,0,0,0,0,0,0,0,3,82,99,100,100,100,100,100,100,100,100,100
13,0,0,0,0,0,0,0,0,0,24,85,100,100,100,100,100,100,100,100,100
14,0,0,0,0,0,0,0,0,1,59,99,100,100,100,100,100,100,100,100,100
15,0,0,0,0,0,0,0,0,0,0,14,78,100,100,100,100,100,100,100,100
16,0,0,0,0,0,0,0,27,95,100,100,100,100,100,100,100,100,100,100,100
17,0,0,0,0,0,0,0,15,80,100,100,100,100,100,100,100,100,100,100,100
18,0,0,0,0,0,0,0,0,0,19,80,100,100,100,100,100,100,100,100,100
19,0,0,0,0,0,0,0,0,0,5,51,98,100,100,100,100,100,100,100,100
20,0,0,0,0,0,0,0,11,84,100,100,100,100,100,100,100,100,100,100,100
21,0,0,0,0,0,0,0,9,85,99,100,100,100,100,100,100,100,100,100,100
22,0,0,0,0,0,0,0,0,3,45,97,100,100,100,100,100,100,100,100,100
23,0,0,0,0,0,0,0,0,3,64,98,100,100,100,100,100,100,100,100,100
24,0,0,0,0,0,0,0,31,91,100,100,100,100,100,100,100,100,100,100,100
25,0,0,0,0,0,0,0,0,0,7,68,99,100,100,100,100,100,100,100,100
26,0,0,0,0,0,0,0,0,0,33,90,100,100,100,100,100,100,100,100,100
27,0,0,0,0,0,0,0,0,1,64,100,100,100,100,100,100,100,100,100,100
28,0,0,0,0,0,0,0,0,0,33,90,100,100,100,100,100,100,100,100,100
29,0,0,0,0,0,0,0,3,69,100,100,100,100,100,100,100,100,100,100,100
30,0,0,0,0,0,0,2,58,99,100,100,100,100,100,100,100,100,100,100,100
31,0,0,0,0,0,0,6,77,100,100,100,100,100,100,100,100,100,100,100,100
32,0,0,0,0,0,0,0,0,1,6,49,99,100,100,100,100,100,100,100,100
33,0,0,0,0,0,0,0,0,0,0,2,56,95,100,100,100,100,100,100,100
34,0,0,0,0,0,0,0,0,7,69,100,100,100,100,100,100,100,100,100,100
35,0,0,0,0,0,0,0,16,84,100,100,100,100,100,100,100,100,100,100,100
36,0,0,0,0,0,0,0,14,80,100,100,100,100,100,100,100,100,100,100,100
37,0,0,0,0,0,0,0,0,0,22,87,100,100,100,100,100,100,100,100,100
38,0,0,0,0,0,0,0,0,0,45,95,100,100,100,100,100,100,100,100,100
39,0,0,0,0,0,0,0,0,1,77,100,100,100,100,100,100,100,100,100,100
40,0,0,0,0,0,0,0,0,0,41,96,100,100,100,100,100,100,100,100,100
41,0,0,0,0,0,0,0,0,0,0,23,89,100,100,100,100,100,100,100,100
42,0,0,0,0,0,0,0,0,0,0,6,69,100,100,100,100,100,100,100,100
43,0,0,0,0,0,0,0,0,0,13,80,100,100,100,100,100,100,100,100,100
44,0,0,0,0,0,0,0,0,0,0,2,44,99,100,100,100,100,100,100,100
45,0,0,0,0,0,0,0,0,0,0,14,84,100,100,100,100,100,100,100,100
46,0,0,0,0,0,0,0,0,32,95,100,100,100,100,100,100,100,100,100,100
47,0,0,0,0,0,0,0,0,0,0,1,55,97,100,100,100,100,100,100,100
48,0,0,0,0,0,0,0,0,0,2,30,95,100,100,100,100,100,100,100,100
49,0,0,0,0,0,0,0,1,20,94,100,100,100,100,100,100,100,100,100,100
50,0,0,0,0,0,0,0,0,5,72,97,100,100,100,100,100,100,100,100,100
51,0,0,0,0,0,0,0,0,0,26,93,100,100,100,100,100,100,100,100,100
52,0,0,0,0,0,0,0,0,5,61,96,100,100,100,100,100,100,100,100,100
53,0,0,0,0,0,0,0,0,0,3,24,89,100,100,100,100,100,100,100,100
54,0,0,0,0,0,0,0,0,1,33,94,100,100,100,100,100,100,100,100,100
55,0,0,0,0,0,0,0,0,0,1,6,87,100,100,100,100,100,100,100,100
56,0,0,0,0,0,0,0,0,0,0,1,28,88,100,100,100,100,100,100,100
57,0,0,0,0,0,0,0,0,5,79,100,100,100,100,100,100,100,100,100,100
58,0,0,0,0,0,0,0,0,35,100,100,100,100,100,100,100,100,100,100,100
59,0,0,0,0,0,0,0,0,0,3,45,99,100,100,100,100,100,100,100,100
60,0,0,0,0,0,0,0,0,0,17,80,100,100,100,100,100,100,100,100,100
61,0,0,0,0,0,0,0,0,1,35,92,100,100,100,100,100,100,100,100,100
62,0,0,0,0,0,0,0,0,0,0,11,78,100,100,100,100,100,100,100,100
63,0,0,0,0,0,0,0,0,2,55,98,100,100,100,100,100,100,100,100,100
64,0,0,0,0,0,0,0,0,3,79,99,100,100,100,100,100,100,100,100,100
65,0,0,0,0,0,0,0,2,67,100,100,100,100,100,100,100,100,100,100,100
66,0,0,0,0,0,0,0,0,0,6,67,98,100,100,100,100,100,100,100,100
67,0,0,0,0,0,0,0,0,0,28,83,100,100,100,100,100,100,100,100,100
68,0,0,0,0,0,0,0,0,0,0,0,28,94,100,100,100,100,100,100,100
69,0,0,0,0,0,0,0,0,0,8,45,100,100,100,100,100,100,100,100,100
70,0,0,0,0,0,0,0,0,0,0,3,68,96,100,100,100,100,100,100,100
71,0,0,0,0,0,0,0,0,0,1,15,88,100,100,100,100,100,100,100,100
72,0,0,0,0,0,0,0,5,72,100,100,100,100,100,100,100,100,100,100,100
73,0,0,0,0,0,0,0,0,0,0,7,79,99,100,100,100,100,100,100,100
74,0,0,0,0,0,0,0,0,1,52,98,100,100,100,100,100,100,100,100,100
75,0,0,0,0,0,0,0,2,57,98,100,100,100,100,100,100,100,100,100,100
76,0,0,0,0,0,0,0,0,1,59,98,100,100,100,100,100,100,100,100,100
77,0,0,0,0,0,0,0,0,10,79,100,100,100,100,100,100,100,100,100,100
78,0,0,0,0,0,0,0,0,0,0,32,91,100,100,100,100,100,100,100,100
79,0,0,0,0,0,0,0,0,0,3,53,99,100,100,100,100,100,100,100,100
80,0,0,0,0,0,0,0,0,0,42,93,100,100,100,100,100,100,100,100,100
81,0,0,0,0,0,0,0,0,0,0,2,47,100,100,100,100,100,100,100,100
82,0,0,0,0,0,0,0,0,0,0,13,86,100,100,100,100,100,100,100,100
83,0,0,0,0,0,0,0,0,0,0,15,82,100,100,100,100,100,100,100,100
84,0,0,0,0,0,0,0,0,0,0,2,51,97,100,100,100,100,100,100,100
85,0,0,0,0,0,0,0,0,0,5,56,95,100,100,100,100,100,100,100,100
86,0,0,0,0,0,0,0,0,0,44,97,100,100,100,100,100,100,100,100,100
87,0,0,0,0,0,0,0,0,0,38,93,100,100,100,100,100,100,100,100,100
88,0,0,0,0,0,0,0,0,0,31,92,100,100,100,100,100,100,100,100,100
89,0,0,0,0,0,0,0,0,0,0,0,19,88,100,100,100,100,100,100,100
90,0,0,0,0,0,0,0,0,0,17,80,100,100,100,100,100,100,100,100,100
91,0,0,0,0,0,0,0,4,63,100,100,100,100,100,100,100,100,100,100,100
92,0,0,0,0,0,0,0,0,38,97,99,100,100,100,100,100,100,100,100,100
93,0,0,0,0,0,0,0,0,0,15,78,100,100,100,100,100,100,100,100,100
94,0,0,0,0,0,0,0,0,0,2,37,98,100,100,100,100,100,100,100,100
95,0,0,0,0,0,0,0,0,1,60,98,100,100,100,100,100,100,100,100,100
96,0,0,0,0,0,0,0,0,0,11,74,99,100,100,100,100,100,100,100,100
97,0,0,0,0,0,0,0,0,0,24,84,100,100,100,100,100,100,100,100,100
98,0,0,0,0,0,0,0,0,0,43,98,100,100,100,100,100,100,100,100,100
99,0,0,0,0,0,0,0,0,0,33,96,100,100,100,100,100,100,100,100,100
100,0,0,0,0,0,0,0,24,85,100,100,100,100,100,100,100,100,100,100,100
101,0,0,0,0,0,0,0,0,5,71,98,100,100,100,100,100,100,100,100,100
102,0,0,0,0,0,0,0,0,1,47,98,100,100,100,100,100,100,100,100,100
103,0,0,0,0,0,0,0,0,0,27,80,100,100,100,100,100,100,100,100,100
104,0,0,0,0,0,0,0,0,0,0,31,98,100,100,100,100,100,100,100,100
105,0,0,0,0,0,0,0,50,98,100,100,100,100,100,100,100,100,100,100,100
106,0,0,0,0,0,0,0,0,0,25,88,100,100,100,100,100,100,100,100,100
107,0,0,0,0,0,0,0,0,0,1,37,95,100,100,100,100,100,100,100,100
108,0,0,0,0,0,0,0,0,0,0,0,12,78,100,100,100,100,100,100,100
109,0,0,0,0,0,0,0,0,0,21,82,99,100,100,100,100,100,100,100,100
110,0,0,0,0,0,0,0,0,4,69,97,100,100,100,100,100,100,100,100,100
111,0,0,0,0,0,0,0,0,0,3,54,98,100,100,100,100,100,100,100,100
112,0,0,0,0,0,0,0,0,3,78,99,100,100,100,100,100,100,100,100,100
113,0,0,0,0,0,0,0,0,2,76,100,100,100,100,100,100,100,100,100,100
114,0,0,0,0,0,0,0,0,0,10,69,99,100,100,100,100,100,100,100,100
115,0,0,0,0,0,0,0,0,0,0,0,30,84,100,100,100,100,100,100,100
116,0,0,0,0,0,0,0,0,8,80,100,100,100,100,100,100,100,100,100,100
117,0,0,0,0,0,0,0,0,7,67,100,100,100,100,100,100,100,100,100,100
118,0,0,0,0,0,0,2,75,100,100,100,100,100,100,100,100,100,100,100,100
119,0,0,0,0,0,0,1,38,95,100,100,100,100,100,100,100,100,100,100,100
120,0,0,0,0,0,0,0,0,23,96,100,100,100,100,100,100,100,100,100,100
121,0,0,0,0,0,0,0,0,0,0,0,17,81,100,100,100,100,100,100,100
122,0,0,0,0,0,0,0,0,12,84,100,100,100,100,100,100,100,100,100,100
123,0,0,0,0,0,0,0,0,0,8,59,100,100,100,100,100,100,100,100,100
124,0,0,0,0,0,0,0,0,0,8,57,98,100,100,100,100,100,100,100,100
125,0,0,0,0,0,0,0,10,81,99,100,100,100,100,100,100,100,100,100,100
126,0,0,0,0,0,0,0,0,0,2,23,89,100,100,100,100,100,100,100,100
127,0,0,0,0,0,0,0,0,0,42,93,100,100,100,100,100,100,100,100,100

